iter	Passed	Remaining
402	11141	16505
403	11166	16472
404	11192	16442
405	11219	16414
406	11249	16390
407	11278	16364
408	11312	16345
409	11338	16316
410	11363	16284
411	11392	16258
412	11416	16225
413	11445	16200
414	11476	16177
415	11502	16147
416	11532	16123
417	11562	16098
418	11589	16069
419	11618	16044
420	11649	16021
421	11677	15994
422	11705	15966
423	11732	15938
424	11759	15909
425	11783	15877
426	11815	15855
427	11842	15827
428	11868	15797
429	11899	15773
430	11926	15745
431	11956	15720
432	11983	15691
433	12009	15662
434	12033	15630
435	12064	15606
436	12091	15578
437	12119	15550
438	12146	15522
439	12175	15495
440	12204	15469
441	12233	15443
442	12258	15413
443	12284	15383
444	12314	15358
445	12344	15333
446	12374	15309
447	12399	15278
448	12427	15250
449	12453	15221
450	12482	15195
451	12509	15165
452	12538	15139
453	12562	15108
454	12590	15081
455	12623	15059
456	12647	15028
457	12673	14997
458	12704	14974
459	12729	14943
460	12755	14913
461	12786	14889
462	12815	14863
463	12841	14833
464	12868	14805
465	12893	14775
466	12920	14746
467	12950	14721
468	12974	14689
469	13002	14662
470	13030	14634
471	13058	14608
472	13080	14574
473	13116	14555
474	13143	14526
475	13170	14499
476	13202	14475
477	13226	14444
478	13254	14416
479	13283	14390
480	13304	14355
481	13333	14329
482	13360	14301
483	13382	14267
484	13408	14238
485	13435	14209
486	13464	14182
487	13489	14152
488	13518	14126
489	13543	14096
490	13569	14066
491	13598	14040
492	13626	14013
493	13651	13983
494	13678	13954
495	13705	13926
496	13730	13896
497	13762	13873
498	13787	13842
499	13812	13812
500	13845	13790
501	13872	13761
502	13898	13732
503	13929	13708
504	13957	13681
505	13988	13656
506	14013	13626
507	14036	13594
508	14069	13571
509	14096	13543
510	14123	13515
511	14151	13488
512	14185	13466
513	14212	13438
514	14243	13414
515	14270	13385
516	14299	13359
517	14326	13331
518	14353	13302
519	14379	13273
520	14409	13247
521	14436	13219
522	14460	13188
523	14491	13163
524	14517	13135
525	14539	13102
526	14567	13075
527	14594	13046
528	14621	13018
529	14651	12992
530	14678	12964
531	14706	12936
532	14736	12912
533	14762	12882
534	14787	12853
535	14817	12826
536	14846	12800
537	14876	12775
538	14905	12748
539	14933	12720
540	14961	12693
541	14991	12668
542	15018	12640
543	15049	12614
544	15074	12584
545	15102	12557
546	15134	12533
547	15162	12506
548	15191	12480
549	15221	12454
550	15244	12422
551	15266	12390
552	15289	12358
553	15318	12332
554	15344	12303
555	15372	12275
556	15401	12249
557	15425	12218
558	15456	12193
559	15484	12166
560	15508	12135
561	15534	12107
562	15566	12082
563	15591	12053
564	15616	12023
565	15646	11997
566	15671	11967
567	15697	11938
568	15727	11912
569	15753	11884
570	15781	11856
571	15809	11829
572	15837	11802
573	15862	11772
574	15892	11746
575	15917	11717
576	15939	11685
577	15967	11657
578	15990	11626
579	16021	11601
580	16051	11575
581	16073	11543
582	16099	11515
583	16132	11491
584	16155	11460
585	16182	11432
586	16214	11407
587	16238	11378
588	16266	11350
589	16297	11325
590	16324	11297
591	16354	11271
592	16378	11240
593	16408	11215
594	16435	11186
595	16453	11153
596	16479	11124
597	16508	11097
598	16532	11067
599	16560	11040
600	16589	11013
601	16615	10985
602	16640	10955
603	16672	10930
604	16697	10901
605	16722	10872
606	16753	10847
607	16779	10818
608	16807	10791
609	16840	10766
610	16865	10737
611	16896	10712
612	16925	10685
613	16948	10654
614	16975	10626
615	17005	10600
616	17028	10570
617	17057	10543
618	17090	10519
619	17115	10490
620	17138	10460
621	17166	10432
622	17193	10404
623	17222	10377
624	17248	10349
625	17277	10322
626	17304	10294
627	17328	10264
628	17358	10238
629	17386	10211
630	17408	10180
631	17437	10153
632	17463	10124
633	17487	10095
634	17522	10072
635	17545	10041
636	17573	10014
637	17604	9988
638	17629	9959
639	17652	9929
640	17678	9901
641	17706	9873
642	17734	9846
643	17763	9819
644	17791	9792
645	17819	9764
646	17847	9737
647	17870	9707
648	17894	9677
649	17916	9647
650	17946	9621
651	17970	9591
652	17994	9561
653	18026	9536
654	18053	9509
655	18079	9480
656	18108	9453
657	18132	9424
658	18160	9397
659	18191	9371
660	18215	9342
661	18243	9314
662	18274	9288
663	18301	9260
664	18324	9231
665	18355	9205
666	18383	9177
667	18410	9149
668	18440	9123
669	18459	9091
670	18481	9061
671	18508	9033
672	18537	9007
673	18565	8979
674	18591	8951
675	18619	8923
676	18649	8897
677	18682	8872
678	18706	8843
679	18729	8813
680	18757	8786
681	18782	8758
682	18805	8728
683	18831	8699
684	18859	8672
685	18882	8642
686	18904	8613
687	18933	8586
688	18957	8556
689	18985	8529
690	19017	8504
691	19044	8476
692	19070	8448
693	19102	8422
694	19129	8394
695	19157	8367
696	19187	8341
697	19212	8312
698	19241	8285
699	19271	8259
700	19298	8231
701	19321	8202
702	19350	8175
703	19376	8146
704	19400	8117
705	19428	8090
706	19449	8060
707	19474	8031
708	19502	8004
709	19528	7976
710	19553	7947
711	19583	7921
712	19606	7891
713	19632	7864
714	19657	7835
715	19683	7807
716	19709	7779
717	19741	7753
718	19764	7724
719	19792	7697
720	19821	7670
721	19851	7643
722	19879	7616
723	19905	7588
724	19930	7559
725	19954	7531
726	19985	7504
727	20011	7476
728	20035	7448
729	20068	7422
730	20094	7394
731	20122	7367
732	20155	7341
733	20186	7315
734	20210	7286
735	20240	7260
736	20261	7230
737	20289	7202
738	20313	7174
739	20347	7149
740	20378	7122
741	20404	7094
742	20433	7067
743	20459	7039
744	20481	7010
745	20514	6984
746	20540	6956
747	20567	6929
748	20595	6901
749	20619	6873
750	20646	6845
751	20674	6818
752	20700	6790
753	20723	6761
754	20748	6733
755	20776	6705
756	20799	6676
757	20822	6647
758	20852	6621
759	20872	6591
760	20894	6562
761	20924	6535
762	20956	6509
763	20982	6481
764	21008	6453
765	21034	6425
766	21059	6397
767	21089	6370
768	21115	6342
769	21142	6315
770	21169	6287
771	21194	6259
772	21222	6232
773	21251	6205
774	21276	6177
775	21306	6150
776	21335	6123
777	21361	6095
778	21392	6068
779	21419	6041
780	21444	6013
781	21470	5985
782	21501	5958
783	21530	5931
784	21558	5904
785	21586	5877
786	21612	5849
787	21642	5822
788	21666	5794
789	21690	5765
790	21721	5739
791	21748	5711
792	21775	5684
793	21805	5657
794	21832	5629
795	21858	5601
796	21888	5575
797	21913	5547
798	21942	5520
799	21971	5492
800	21999	5465
801	22024	5437
802	22055	5410
803	22083	5383
804	22111	5356
805	22139	5328
806	22166	5301
807	22194	5274
808	22225	5247
809	22253	5220
810	22278	5191
811	22309	5165
812	22337	5137
813	22364	5110
814	22393	5083
815	22419	5055
816	22447	5028
817	22470	4999
818	22503	4973
819	22531	4945
820	22555	4917
821	22586	4890
822	22617	4864
823	22645	4836
824	22678	4810
825	22701	4782
826	22728	4754
827	22755	4726
828	22785	4700
829	22808	4671
830	22834	4643
831	22863	4616
832	22889	4588
833	22918	4561
834	22946	4534
835	22977	4507
836	23007	4480
837	23037	4453
838	23064	4426
839	23093	4398
840	23120	4371
841	23145	4343
842	23174	4316
843	23205	4289
844	23232	4261
845	23260	4234
846	23284	4206
847	23311	4178
848	23342	4151
849	23366	4123
850	23391	4095
851	23417	4067
852	23446	4040
853	23474	4013
854	23504	3986
855	23535	3959
856	23559	3931
857	23584	3903
858	23612	3875
859	23641	3848
860	23671	3821
861	23697	3793
862	23723	3766
863	23751	3738
864	23777	3710
865	23802	3683
866	23828	3655
867	23858	3628
868	23885	3600
869	23915	3573
870	23943	3546
871	23971	3518
872	23998	3491
873	24019	3462
874	24047	3435
875	24077	3408
876	24100	3380
877	24128	3352
878	24159	3325
879	24185	3297
880	24211	3270
881	24236	3242
882	24266	3215
883	24293	3187
884	24318	3160
885	24348	3132
886	24373	3105
887	24399	3077
888	24431	3050
889	24454	3022
890	24481	2994
891	24511	2967
892	24541	2940
893	24571	2913
894	24602	2886
895	24631	2859
896	24660	2831
897	24687	2804
898	24715	2776
899	24748	2749
900	24775	2722
901	24800	2694
902	24831	2667
903	24856	2639
904	24883	2612
905	24914	2584
906	24935	2556
907	24961	2529
908	24990	2501
909	25018	2474
910	25041	2446
911	25071	2419
912	25097	2391
913	25126	2364
914	25158	2337
915	25186	2309
916	25212	2282
917	25240	2254
918	25263	2226
919	25293	2199
920	25326	2172
921	25351	2144
922	25376	2116
923	25405	2089
924	25432	2062
925	25456	2034
926	25483	2006
927	25507	1979
928	25528	1951
929	25553	1923
930	25580	1895
931	25607	1868
932	25633	1840
933	25662	1813
934	25689	1785
935	25715	1758
936	25742	1730
937	25767	1703
938	25797	1675
939	25825	1648
940	25853	1620
941	25876	1593
942	25904	1565
943	25930	1538
944	25956	1510
945	25987	1483
946	26013	1455
947	26042	1428
948	26072	1401
949	26101	1373
950	26130	1346
951	26157	1318
952	26183	1291
953	26209	1263
954	26232	1236
955	26262	1208
956	26284	1181
957	26311	1153
958	26340	1126
959	26363	1098
960	26388	1070
961	26419	1043
962	26446	1016
963	26476	988
964	26503	961
965	26531	933
966	26561	906
967	26586	878
968	26613	851
969	26646	824
970	26675	796
971	26700	769
972	26729	741
973	26754	714
974	26779	686
975	26809	659
976	26836	631
977	26861	604
978	26890	576
979	26917	549
980	26942	521
981	26979	494
982	27003	466
983	27030	439
984	27055	412
985	27078	384
986	27110	357
987	27136	329
988	27165	302
989	27195	274
990	27225	247
991	27251	219
992	27283	192
993	27310	164
994	27335	137
995	27366	109
996	27390	82
997	27416	54
998	27449	27
999	27472	0
