iter	MultiClass
0	2.762246735
1	2.750843148
2	2.740788993
3	2.727787642
4	2.718564552
5	2.706483537
6	2.702579506
7	2.695330749
8	2.686445263
9	2.680245818
10	2.671193872
11	2.663819346
12	2.653440163
13	2.64284668
14	2.631558752
15	2.622518643
16	2.612483477
17	2.603897619
18	2.593880702
19	2.582600911
20	2.573694711
21	2.561710119
22	2.551035995
23	2.543913254
24	2.533156763
25	2.521075748
26	2.516279001
27	2.50636048
28	2.497787691
29	2.490746084
30	2.484489426
31	2.479069997
32	2.470906329
33	2.464844983
34	2.454602174
35	2.446791647
36	2.436250197
37	2.430855676
38	2.42316426
39	2.415173217
40	2.407175022
41	2.397832327
42	2.389010219
43	2.380163204
44	2.372455019
45	2.364024523
46	2.354614011
47	2.347819504
48	2.337833412
49	2.332196723
50	2.324435271
51	2.31418679
52	2.306283785
53	2.298933426
54	2.290977894
55	2.281485509
56	2.276757073
57	2.266660501
58	2.258168353
59	2.256009805
60	2.248568202
61	2.239881234
62	2.230834221
63	2.224017766
64	2.216419813
65	2.210517036
66	2.20338591
67	2.194562816
68	2.187201113
69	2.180508947
70	2.173243914
71	2.164240057
72	2.155298098
73	2.14660028
74	2.138208748
75	2.133380682
76	2.129047802
77	2.121641217
78	2.11518826
79	2.106823607
80	2.099576576
81	2.099571398
82	2.096871548
83	2.091106376
84	2.085103723
85	2.078230548
86	2.069820766
87	2.061165118
88	2.052315637
89	2.043268377
90	2.036423438
91	2.02997603
92	2.020980188
93	2.015374694
94	2.00668674
95	2.000458935
96	1.996063541
97	1.987371271
98	1.977934743
99	1.968932366
100	1.961575718
101	1.95353671
102	1.945700536
103	1.940399601
104	1.932128043
105	1.924882739
106	1.918700432
107	1.910138248
108	1.901469406
109	1.894171574
110	1.886131949
111	1.878167786
112	1.869548882
113	1.86954654
114	1.85996291
115	1.851549307
116	1.842082446
117	1.836723929
118	1.831683288
119	1.826489258
120	1.822104837
121	1.817313763
122	1.811224797
123	1.803728693
124	1.797296697
125	1.791710933
126	1.783761073
127	1.776318113
128	1.770291538
129	1.761454881
130	1.754595762
131	1.74902874
132	1.743003891
133	1.738595427
134	1.732142346
135	1.726910092
136	1.72114751
137	1.71677616
138	1.709856746
139	1.703149291
140	1.69520313
141	1.688814784
142	1.682404243
143	1.675705542
144	1.669109676
145	1.661660428
146	1.655016597
147	1.649512705
148	1.642271716
149	1.637318251
150	1.634786833
151	1.628241522
152	1.623812219
153	1.618293778
154	1.611040828
155	1.602757556
156	1.596828268
157	1.59415949
158	1.589327109
159	1.583156763
160	1.576882595
161	1.572313097
162	1.568960109
163	1.561677197
164	1.554700077
165	1.551632906
166	1.545610031
167	1.539432287
168	1.537152901
169	1.52985322
170	1.525308135
171	1.520384756
172	1.515365816
173	1.510406309
174	1.505312525
175	1.501281985
176	1.496193132
177	1.490289245
178	1.48520927
179	1.480085523
180	1.476004182
181	1.47065627
182	1.465219332
183	1.460260811
184	1.453823637
185	1.451252392
186	1.446890906
187	1.442212654
188	1.435247988
189	1.429643357
190	1.423292002
191	1.418126332
192	1.41232047
193	1.406981066
194	1.40099925
195	1.39923293
196	1.394104251
197	1.387466215
198	1.381055057
199	1.374451423
200	1.368357032
201	1.364464716
202	1.359106692
203	1.354677759
204	1.35240047
205	1.346937638
206	1.341571723
207	1.33497746
208	1.329578993
209	1.323537869
210	1.316810068
211	1.310908031
212	1.305099333
213	1.30179616
214	1.296988932
215	1.29307701
216	1.287000991
217	1.281759613
218	1.279194903
219	1.274696057
220	1.269382669
221	1.264985549
222	1.259328268
223	1.254273201
224	1.248930467
225	1.243752959
226	1.23939283
227	1.234416183
228	1.230447172
229	1.22486412
230	1.222583624
231	1.218366033
232	1.215647811
233	1.211095698
234	1.204396627
235	1.200595432
236	1.196302379
237	1.192760491
238	1.188877175
239	1.183984868
240	1.181236683
241	1.176330443
242	1.172783499
243	1.168176393
244	1.164540177
245	1.159057371
246	1.154407601
247	1.151356337
248	1.147439853
249	1.142850009
250	1.13859444
251	1.13566389
252	1.132992646
253	1.128300337
254	1.123202854
255	1.119023857
256	1.115473214
257	1.111787677
258	1.108630124
259	1.105137311
260	1.101241665
261	1.098163767
262	1.09416023
263	1.09180526
264	1.089117
265	1.08375688
266	1.080163204
267	1.076115279
268	1.073366724
269	1.068067886
270	1.064025139
271	1.060406802
272	1.056719539
273	1.051282725
274	1.046534436
275	1.044784022
276	1.040679747
277	1.035987315
278	1.033013546
279	1.029669251
280	1.025722188
281	1.022034924
282	1.016603289
283	1.013938272
284	1.011585212
285	1.007822857
286	1.003105826
287	1.000029778
288	0.996739243
289	0.99308521
290	0.9920977968
291	0.9906958378
292	0.9864620324
293	0.9831122504
294	0.9808937766
295	0.9765650894
296	0.9742855804
297	0.9729339291
298	0.969858682
299	0.9658338142
300	0.9623918013
301	0.9584513963
302	0.9552033395
303	0.9516653966
304	0.948197675
305	0.9445422856
306	0.9404430043
307	0.9376561637
308	0.9351754853
309	0.9315977154
310	0.9289099491
311	0.924569548
312	0.921855888
313	0.9192425969
314	0.916059521
315	0.9118410669
316	0.9084977583
317	0.9066920425
318	0.9026635989
319	0.9004326714
320	0.8984508168
321	0.8955637306
322	0.8941551131
323	0.8911233921
324	0.8893072571
325	0.8855667268
326	0.8822913584
327	0.8790268407
328	0.8762761896
329	0.8730083427
330	0.8708890664
331	0.868659557
332	0.8647854892
333	0.8637213196
334	0.8613043891
335	0.8596049607
336	0.8571283514
337	0.8552051891
338	0.8515068902
339	0.8497601133
340	0.846658356
341	0.8437112211
342	0.8396324081
343	0.8360399651
344	0.8333635427
345	0.8300363868
346	0.8275950422
347	0.82471893
348	0.821075871
349	0.8186726272
350	0.8166471847
351	0.813303198
352	0.8099579782
353	0.808782774
354	0.8067838418
355	0.8040338073
356	0.8011051679
357	0.7984202992
358	0.794787721
359	0.7917482318
360	0.7892684782
361	0.786403525
362	0.7827694671
363	0.7800731929
364	0.7774501608
365	0.7740059284
366	0.771679071
367	0.7683550594
368	0.7650533657
369	0.7624308885
370	0.7594195125
371	0.7569062821
372	0.7549958817
373	0.7538934881
374	0.7514902442
375	0.7500347715
376	0.7472610011
377	0.7441854458
378	0.742860613
379	0.7408446033
380	0.7389915389
381	0.7360903961
382	0.7336519492
383	0.7324065237
384	0.7293120413
385	0.7266209458
386	0.7233361446
387	0.7203625612
388	0.7196578825
389	0.7170513731
390	0.7146293255
391	0.7125738587
392	0.7093037307
393	0.7068232373
394	0.7041686395
395	0.7021742079
396	0.6997872401
397	0.6972463897
398	0.6950954245
399	0.6932733093
400	0.6906269112
401	0.6882647274
402	0.6863762133
403	0.6846762301
404	0.6829024498
405	0.6813795918
406	0.6789196284
407	0.6765525124
408	0.6738009366
409	0.6716391207
410	0.6693122633
411	0.6672607422
412	0.6658381915
413	0.6630458023
414	0.6600449071
415	0.6585614445
416	0.6559721976
417	0.6541115501
418	0.651899673
419	0.6492368756
420	0.6464745724
421	0.6441113405
422	0.6421783756
423	0.6411344278
424	0.6388397525
425	0.6373028996
426	0.6351468789
427	0.6333243322
428	0.6309500646
429	0.6285645148
430	0.6264225507
431	0.6242932869
432	0.6230278246
433	0.6210355508
434	0.6194684269
435	0.6171674632
436	0.6150914048
437	0.6132943818
438	0.6117304022
439	0.6093622998
440	0.6068835942
441	0.6051317003
442	0.6034560078
443	0.6019859237
444	0.5993043842
445	0.596901202
446	0.5951145981
447	0.5937258325
448	0.5915924997
449	0.5906261714
450	0.5881990683
451	0.5868781196
452	0.5848035408
453	0.5832398694
454	0.5812248461
455	0.5793029169
456	0.5777840662
457	0.5766120063
458	0.5747271913
459	0.5735736885
460	0.5719957756
461	0.5699015916
462	0.5677570382
463	0.5662955236
464	0.564614714
465	0.5630383424
466	0.5613559916
467	0.5596605089
468	0.5575981988
469	0.5557207204
470	0.5542026096
471	0.5524615047
472	0.5514832776
473	0.54923256
474	0.547769874
475	0.5459358601
476	0.544048949
477	0.5422890403
478	0.540602867
479	0.5394193399
480	0.5382030757
481	0.536289901
482	0.5350900978
483	0.5336740205
484	0.5324242794
485	0.5313555477
486	0.5297111126
487	0.528424997
488	0.5273847484
489	0.5263501716
490	0.5247578939
491	0.523196442
492	0.5219645182
493	0.5206314241
494	0.5193175036
